Gender;Age;Admission_Year;GPA;Total_Score;Math_EGE;Russian_EGE;Profile_EGE;Individual_Achievements;Admission_Category;Study_Form;Faculty;Competition_Per_Seat;Enrolled
Ж;19;2021;4,72;263;50;91;95;10;Особая квота;Очная;Биология;3,62;1
М;18;2021;4,18;256;40;44;83;5;Общий конкурс;Очная;Информатика;1,73;1
М;17;2023;4,6;248;91;79;56;2;Общий конкурс;Очная;Экономика;5,09;0
М;18;2024;3,34;298;88;58;78;5;Особая квота;Очная;Физика;9,98;0
М;19;2020;3,23;300;68;51;77;2;Общий конкурс;Очная;Физика;9,73;0
Ж;20;2020;3,64;256;93;75;50;10;Общий конкурс;Очная;Экономика;2,36;0
Ж;25;2020;4,36;279;68;61;92;8;Общий конкурс;Очная;Экономика;3,91;1
Ж;18;2020;4,17;251;73;61;59;5;Общий конкурс;Очная;Информатика;4,04;1
Ж;19;2022;4,72;230;92;43;52;0;Целевая квота;Очная;Юриспруденция;7,19;0
Ж;19;2022;3,56;206;89;61;95;5;Общий конкурс;Очная;Медицина;1,66;0
М;17;2021;4,68;226;99;73;96;2;Целевая квота;Очная;Биология;4,59;0
М;17;2023;4,71;247;69;82;44;8;Общий конкурс;Очная;Биология;2,69;0
М;18;2025;3,25;263;95;91;79;6;Целевая квота;Очная;Медицина;7,07;0
М;17;2025;3,56;290;95;97;72;1;Общий конкурс;Очная;Информатика;6,46;0
Ж;19;2025;4,61;300;97;71;78;4;Общий конкурс;Очная;Информатика;6,61;0
М;20;2024;4,36;210;51;96;41;10;Общий конкурс;Очная;Юриспруденция;8,36;0
М;24;2022;3,14;250;41;72;52;1;Общий конкурс;Очная;Экономика;3,09;0
Ж;17;2023;3,09;283;63;75;70;3;Общий конкурс;Очная;Медицина;2,6;0
М;17;2022;4;291;48;91;93;4;Общий конкурс;Очная;Биология;8,69;0
Ж;18;2021;3,02;247;75;53;84;8;Общий конкурс;Заочная;Юриспруденция;6,28;0
М;17;2022;3,73;246;88;59;99;4;Общий конкурс;Очная;Медицина;7,82;0
М;17;2023;3;245;73;87;40;4;Общий конкурс;Очная;Биология;9,75;0
М;21;2025;4,4;224;85;78;47;10;Общий конкурс;Очная;Экономика;6,81;0
Ж;21;2021;4,63;253;53;98;65;10;Общий конкурс;Очная;Информатика;4,31;1
Ж;19;2020;4,69;249;48;64;73;7;Общий конкурс;Очная;Медицина;6,9;0
Ж;19;2021;4,57;289;83;62;85;8;Общий конкурс;Очная;Информатика;8,87;0
М;19;2021;3,68;240;57;60;93;2;Общий конкурс;Очная;Физика;8,42;0
М;17;2024;4,87;203;43;83;57;1;Общий конкурс;Очная;Экономика;9,73;0
М;17;2020;3,33;203;60;62;40;8;Особая квота;Очная;Юриспруденция;6,81;0
Ж;18;2021;4,8;257;54;97;65;3;Общий конкурс;Очная;Медицина;2,51;1
Ж;17;2021;4,05;234;68;54;79;2;Общий конкурс;Очная;Биология;9,93;0
Ж;19;2021;3,41;229;71;78;94;9;Общий конкурс;Очная;Юриспруденция;6,77;0
Ж;17;2023;3,81;276;54;49;40;3;Общий конкурс;Очная;Информатика;8,2;0
М;19;2023;4,48;230;90;59;51;7;Общий конкурс;Очная;Юриспруденция;5,01;0
М;22;2020;4,85;220;69;40;47;8;Общий конкурс;Очная;Медицина;4,59;0
Ж;17;2021;3,34;266;44;54;61;2;Общий конкурс;Очная;Юриспруденция;1,94;0
М;28;2021;3,35;235;96;100;92;10;Общий конкурс;Очная;Медицина;2,01;0
М;17;2023;4,75;283;40;82;83;9;Особая квота;Очная;Информатика;6,48;0
М;19;2020;3,71;238;64;46;53;3;Общий конкурс;Очная;Медицина;4,44;0
Ж;23;2020;4,67;225;62;84;85;7;Общий конкурс;Очная;Физика;5,7;0
М;18;2021;3,85;252;45;45;44;3;Особая квота;Очная;Информатика;8,35;0
Ж;23;2021;3,64;241;74;51;56;5;Общий конкурс;Очная;Биология;9,68;0
М;21;2023;4,62;232;65;78;87;6;Общий конкурс;Очная;Информатика;3,79;0
Ж;18;2021;4,07;207;40;48;55;5;Общий конкурс;Очная;Биология;3,43;0
М;22;2023;4,58;286;45;55;79;8;Общий конкурс;Очная;Филология;5,59;0
Ж;20;2023;4,68;203;79;77;74;10;Общий конкурс;Очная;Информатика;4,28;0
М;20;2022;3,84;213;49;65;91;5;Общий конкурс;Очная;Математика;2,22;0
М;19;2020;3,42;268;86;42;58;9;Общий конкурс;Очная;Медицина;2,39;0
М;20;2021;4,28;215;49;95;68;6;Общий конкурс;Очная;Медицина;9,16;0
М;17;2024;3,75;279;84;77;77;4;Общий конкурс;Заочная;Биология;2,98;0
М;21;2025;3,92;203;92;70;72;5;Общий конкурс;Очная;Экономика;7,28;0
М;18;2021;4,59;272;68;58;96;5;Общий конкурс;Очная;Экономика;3,46;1
Ж;17;2022;3,04;235;41;78;50;5;Общий конкурс;Очная;Филология;6,6;0
М;25;2022;3,18;261;74;56;77;1;Общий конкурс;Очная;Экономика;8,19;0
Ж;25;2025;4,24;241;65;94;85;1;Целевая квота;Очная;Юриспруденция;5,84;0
М;21;2021;3,85;240;59;68;65;8;Общий конкурс;Очная;Медицина;8,61;0
Ж;22;2025;3,14;287;76;72;65;4;Общий конкурс;Заочная;Информатика;4,74;0
Ж;17;2020;4,53;298;87;76;77;7;Общий конкурс;Очная;Юриспруденция;7,44;0
Ж;22;2025;3,87;236;42;75;94;7;Общий конкурс;Очная;Экономика;1,33;0
М;18;2025;3,86;215;55;59;93;1;Общий конкурс;Заочная;Математика;6,37;0
М;18;2023;3,75;217;99;67;56;7;Общий конкурс;Очная;Математика;1,68;0
Ж;18;2020;4;292;79;58;75;0;Целевая квота;Очная;Физика;6,79;0
Ж;17;2024;3,51;292;88;82;89;3;Особая квота;Очная;Физика;8,04;0
Ж;20;2022;4,96;220;92;88;51;3;Общий конкурс;Очная;Информатика;1,68;0
Ж;18;2020;3,9;208;65;54;54;6;Общий конкурс;Очная;Информатика;7,09;0
Ж;20;2025;4;247;46;87;41;3;Общий конкурс;Очная;Биология;1,26;0
Ж;18;2020;4,71;221;53;60;65;10;Общий конкурс;Очная;Экономика;8,78;0
Ж;17;2025;3,25;288;64;49;47;5;Общий конкурс;Очная;Медицина;8,77;0
Ж;19;2024;4,66;239;86;51;92;2;Общий конкурс;Очная;Биология;5,9;0
М;20;2025;3,2;246;67;96;47;1;Общий конкурс;Очная;Математика;8,6;0
М;19;2024;3,19;209;59;56;68;3;Общий конкурс;Очная;Физика;1,03;0
М;17;2022;4,99;279;65;85;80;5;Общий конкурс;Заочная;Биология;5,16;0
Ж;22;2022;3,86;293;45;89;99;6;Общий конкурс;Очная;Информатика;9,11;0
М;20;2022;4,79;233;73;82;72;1;Целевая квота;Очная;Математика;4,35;0
М;21;2022;4,18;237;68;52;59;4;Общий конкурс;Очная;Медицина;8,3;0
М;18;2023;3,06;210;80;41;88;0;Особая квота;Очная;Филология;7,13;0
М;24;2020;3,86;289;52;95;82;0;Общий конкурс;Очная;Биология;9,73;0
М;18;2023;3,79;290;80;68;45;4;Общий конкурс;Очная;Математика;9,35;0
Ж;20;2021;4,25;248;81;59;87;7;Общий конкурс;Очная;Физика;3,29;0
Ж;21;2023;3,66;251;49;84;44;2;Особая квота;Заочная;Физика;7,84;0
Ж;25;2025;4,46;290;80;44;90;2;Целевая квота;Очная;Медицина;7,42;0
М;24;2024;4,67;276;48;82;95;4;Общий конкурс;Очная;Физика;2,96;1
Ж;20;2020;4,75;224;86;78;99;6;Общий конкурс;Очная;Медицина;9,45;0
М;17;2020;3,44;244;66;92;59;2;Общий конкурс;Очная;Медицина;6,05;0
Ж;21;2021;4,91;292;99;42;96;5;Общий конкурс;Очная;Информатика;7,03;0
Ж;17;2022;4,04;254;96;73;62;4;Особая квота;Заочная;Филология;8,11;0
Ж;20;2023;4,37;236;58;84;49;1;Общий конкурс;Очная;Экономика;4,75;0
Ж;17;2025;4,89;201;76;89;78;10;Общий конкурс;Очная;Биология;8,07;0
Ж;19;2023;4,66;296;46;78;95;6;Общий конкурс;Очная;Медицина;7,9;0
Ж;25;2020;3,52;203;66;99;47;10;Общий конкурс;Заочная;Биология;9,3;0
Ж;19;2022;3,06;271;90;41;52;5;Общий конкурс;Очная;Физика;6;0
Ж;17;2022;3,78;252;74;90;53;3;Особая квота;Очная;Биология;8,56;0
Ж;18;2025;3,75;246;66;52;54;4;Общий конкурс;Очная;Юриспруденция;8,45;0
М;17;2021;3,65;256;84;90;72;7;Общий конкурс;Очная;Юриспруденция;8,68;0
М;19;2022;4,2;266;93;60;98;7;Общий конкурс;Очная;Медицина;1,75;1
Ж;25;2025;4,27;267;44;97;67;0;Общий конкурс;Заочная;Информатика;1,94;1
Ж;17;2025;3,69;234;88;84;54;9;Особая квота;Заочная;Математика;7,07;0
Ж;19;2024;3,3;289;89;45;75;6;Особая квота;Очная;Экономика;8,62;0
М;17;2024;4,42;254;50;44;51;3;Общий конкурс;Очная;Физика;2,7;1
М;17;2023;3,97;274;68;56;98;7;Общий конкурс;Очная;Физика;3,73;0
Ж;22;2022;4,72;236;88;48;55;0;Особая квота;Очная;Юриспруденция;8,15;0
Ж;18;2025;3,08;221;45;95;89;5;Особая квота;Очная;Биология;4,09;0
М;18;2024;3,49;223;81;60;62;1;Целевая квота;Очная;Юриспруденция;7,93;0
Ж;19;2022;3,02;295;99;90;89;3;Общий конкурс;Очная;Медицина;6,42;0
М;19;2024;4,91;300;82;47;57;5;Общий конкурс;Очная;Экономика;4,36;1
М;18;2022;3,52;219;69;74;97;8;Общий конкурс;Очная;Экономика;5,45;0
Ж;19;2020;3,21;245;97;42;81;6;Общий конкурс;Очная;Филология;7,6;0
Ж;17;2025;3,13;217;84;49;40;2;Целевая квота;Очная;Юриспруденция;9,98;0
М;18;2020;4,12;240;69;53;58;9;Общий конкурс;Заочная;Физика;1,58;0
М;17;2023;4,54;293;58;57;54;1;Общий конкурс;Очная;Математика;1,62;1
М;17;2020;3,17;205;61;54;89;2;Общий конкурс;Очная;Филология;4,12;0
М;18;2025;3,52;259;87;86;49;0;Целевая квота;Очная;Экономика;7,34;0
Ж;20;2020;4,35;236;97;94;54;3;Целевая квота;Очная;Информатика;3,81;0
Ж;22;2022;3,7;228;66;45;95;8;Общий конкурс;Очная;Биология;9;0
М;20;2023;4,64;210;65;89;45;7;Общий конкурс;Очная;Медицина;9,57;0
Ж;19;2021;4,57;202;42;47;88;7;Общий конкурс;Очная;Физика;6,54;0
М;24;2022;3,35;299;58;56;65;10;Общий конкурс;Очная;Медицина;6,77;0
Ж;23;2023;3,79;231;66;54;76;2;Общий конкурс;Очная;Юриспруденция;2,65;0
Ж;18;2022;4,06;241;99;88;75;0;Общий конкурс;Очная;Информатика;3,06;0
Ж;18;2025;3,01;218;50;63;92;7;Целевая квота;Очная;Экономика;1,59;0
Ж;23;2021;3,9;264;74;89;48;0;Общий конкурс;Очная;Биология;8,35;0
М;20;2023;3,32;243;66;62;87;8;Общий конкурс;Очная;Юриспруденция;9,45;0
М;19;2021;3,6;260;67;41;79;3;Общий конкурс;Очная;Информатика;5,05;0
М;17;2020;3,29;280;89;90;59;10;Общий конкурс;Очная;Математика;8,62;0
М;17;2023;4,58;254;99;59;100;10;Особая квота;Очная;Информатика;8,82;0
Ж;20;2021;3,83;258;87;97;53;8;Общий конкурс;Очная;Юриспруденция;1,14;0
Ж;24;2025;4,59;284;54;57;43;7;Общий конкурс;Очная;Физика;1,18;1
Ж;18;2021;4,63;230;98;61;41;1;Общий конкурс;Очная;Юриспруденция;9,13;0
М;18;2022;3,37;201;46;92;81;1;Общий конкурс;Очная;Филология;8,86;0
М;18;2024;4,54;290;87;47;72;1;Общий конкурс;Очная;Биология;5,48;0
М;25;2025;3,47;296;54;40;56;10;Общий конкурс;Очная;Биология;7,61;0
Ж;18;2020;3,54;231;87;60;45;1;Общий конкурс;Очная;Физика;8,07;0
М;17;2023;3,27;224;86;56;99;3;Общий конкурс;Очная;Экономика;2,11;0
Ж;17;2023;3,1;223;43;94;60;7;Общий конкурс;Очная;Филология;6,35;0
М;20;2024;4,49;246;72;66;92;9;Общий конкурс;Очная;Юриспруденция;6,03;0
М;18;2020;3,95;289;94;72;83;0;Общий конкурс;Очная;Информатика;9,77;0
М;17;2021;4,77;284;96;77;64;7;Общий конкурс;Очная;Юриспруденция;9,5;0
Ж;22;2024;3,75;227;72;92;74;8;Особая квота;Очная;Экономика;7,71;0
М;18;2021;3,17;228;94;42;83;1;Общий конкурс;Очная;Медицина;2,1;0
М;20;2024;3,47;217;72;94;100;6;Общий конкурс;Очная;Медицина;9,07;0
М;17;2022;3,43;207;68;85;43;6;Общий конкурс;Заочная;Медицина;1,9;0
Ж;20;2022;4,3;241;73;85;45;10;Общий конкурс;Очная;Физика;4,02;0
М;18;2024;4,86;247;41;62;91;1;Общий конкурс;Очная;Информатика;4,39;0
М;19;2021;4,01;205;59;55;92;4;Общий конкурс;Очная;Информатика;6,53;0
Ж;24;2024;3,05;213;65;50;61;10;Общий конкурс;Очная;Информатика;3,61;0
Ж;17;2023;4,51;200;40;89;96;10;Общий конкурс;Очная;Экономика;5,05;0
Ж;17;2020;4,63;205;50;45;58;2;Общий конкурс;Очная;Физика;4,02;0
М;19;2021;4,28;219;83;91;59;6;Особая квота;Заочная;Экономика;2,39;0
М;20;2023;3,19;262;88;68;91;8;Общий конкурс;Очная;Экономика;1,54;0
М;20;2023;4,14;204;68;84;62;10;Общий конкурс;Очная;Информатика;7,26;0
Ж;24;2021;4,64;279;79;87;48;1;Общий конкурс;Очная;Биология;7,73;0
М;18;2020;3,54;225;74;66;42;2;Особая квота;Очная;Юриспруденция;8,59;0
Ж;23;2022;3,34;244;98;98;97;8;Общий конкурс;Очная;Физика;9,98;0
Ж;20;2021;3,58;292;67;79;67;7;Общий конкурс;Очная;Биология;4,42;0
Ж;19;2023;4,53;218;76;42;40;8;Целевая квота;Очная;Физика;6,93;0
М;21;2025;3,87;242;85;88;49;1;Целевая квота;Очная;Информатика;2,31;0
М;25;2020;4,77;230;86;40;84;9;Целевая квота;Очная;Физика;9,43;0
М;18;2020;4,12;273;93;99;90;7;Целевая квота;Очная;Биология;6,25;0
Ж;19;2025;3,47;206;63;50;53;4;Общий конкурс;Очная;Юриспруденция;4,43;0
Ж;18;2022;3,17;264;40;71;86;5;Общий конкурс;Очная;Юриспруденция;8,24;0
Ж;22;2020;4,08;200;65;64;93;10;Общий конкурс;Очная;Математика;3,99;0
М;19;2021;4,98;231;96;98;95;10;Общий конкурс;Очная;Филология;8,75;0
М;17;2022;4,77;284;94;51;71;7;Общий конкурс;Очная;Юриспруденция;7,17;0
Ж;20;2021;4,66;204;92;94;52;10;Общий конкурс;Очная;Математика;5,03;0
Ж;17;2021;3,58;202;99;91;95;0;Общий конкурс;Очная;Филология;1,04;0
М;18;2024;4,71;293;49;89;97;0;Общий конкурс;Очная;Физика;4,31;1
М;22;2023;3,38;292;44;50;61;2;Общий конкурс;Очная;Филология;4,91;0
Ж;25;2021;4,51;202;40;68;68;0;Общий конкурс;Очная;Физика;9,49;0
М;25;2024;3,12;282;61;96;44;9;Общий конкурс;Очная;Медицина;8,01;0
Ж;17;2025;3,05;205;87;58;45;7;Общий конкурс;Очная;Филология;4,75;0
М;18;2024;4,02;280;41;96;89;4;Общий конкурс;Очная;Юриспруденция;6,63;0
М;19;2021;4,18;298;51;72;79;8;Целевая квота;Очная;Филология;8,41;0
Ж;19;2023;3,74;280;77;78;77;10;Общий конкурс;Очная;Медицина;2,96;0
М;23;2024;3,37;257;92;63;65;9;Общий конкурс;Очная;Филология;4,91;0
М;19;2022;4,27;249;74;46;96;7;Общий конкурс;Очная;Физика;8,91;0
Ж;18;2021;3,8;253;49;90;54;10;Целевая квота;Очная;Биология;6,24;0
М;19;2024;4,28;233;69;73;90;1;Общий конкурс;Очная;Медицина;3,67;0
Ж;18;2022;3,76;265;68;46;85;7;Общий конкурс;Очная;Математика;2,26;0
Ж;19;2024;4,87;276;66;86;99;2;Общий конкурс;Очная;Экономика;1,81;1
Ж;19;2020;3,32;263;44;55;81;0;Общий конкурс;Очная;Физика;1,69;0
М;17;2020;4,6;208;50;97;65;3;Общий конкурс;Очная;Информатика;2,96;0
Ж;22;2025;4,61;280;60;77;48;7;Особая квота;Очная;Медицина;9,65;0
Ж;19;2025;3,06;286;50;45;52;9;Общий конкурс;Очная;Медицина;9,1;0
Ж;21;2021;4,57;230;95;90;89;3;Особая квота;Заочная;Медицина;7,78;0
М;17;2022;3,85;217;57;96;71;2;Особая квота;Очная;Информатика;9,23;0
Ж;17;2023;3,75;214;53;68;96;0;Общий конкурс;Очная;Филология;8,04;0
М;20;2021;3,71;262;69;62;61;1;Общий конкурс;Очная;Биология;4,64;0
М;17;2023;4,63;284;92;56;77;3;Общий конкурс;Очная;Экономика;4,09;1
Ж;17;2025;3,4;238;76;82;63;7;Общий конкурс;Очная;Филология;9,14;0
Ж;18;2020;3,85;201;63;75;51;6;Целевая квота;Заочная;Физика;1,63;0
М;17;2022;4,2;254;98;45;69;1;Общий конкурс;Очная;Филология;1,74;1
М;20;2023;4,01;288;50;49;74;9;Особая квота;Очная;Математика;4,91;1
М;24;2023;4,03;208;89;53;87;2;Общий конкурс;Очная;Экономика;7,3;0
М;21;2024;3,78;274;94;85;92;0;Целевая квота;Очная;Биология;4,97;0
Ж;17;2025;3,75;276;80;79;99;9;Целевая квота;Очная;Математика;1,98;0
Ж;17;2025;4,04;240;48;65;61;8;Общий конкурс;Очная;Медицина;7,19;0
М;18;2023;3,62;227;83;43;55;6;Общий конкурс;Очная;Физика;5,49;0
Ж;20;2022;4,74;238;40;51;80;9;Целевая квота;Заочная;Математика;9,06;0
М;20;2024;3,42;285;65;61;77;9;Общий конкурс;Очная;Физика;1,05;0
Ж;20;2024;4,71;266;74;75;97;6;Общий конкурс;Очная;Медицина;4,2;1
М;19;2025;4;296;100;43;77;0;Общий конкурс;Очная;Информатика;8,17;0
Ж;17;2022;4,94;235;82;92;77;9;Общий конкурс;Очная;Физика;9,45;0
Ж;19;2020;4,37;295;94;72;73;4;Общий конкурс;Очная;Экономика;9,82;0
Ж;20;2024;4,65;240;53;59;80;4;Общий конкурс;Очная;Медицина;3,12;0
Ж;18;2025;3,78;294;63;95;92;3;Общий конкурс;Очная;Физика;1,8;0
М;24;2020;3,5;274;44;67;62;10;Целевая квота;Заочная;Физика;4,73;0
Ж;25;2021;4,58;267;90;64;72;0;Общий конкурс;Очная;Экономика;3,06;1
Ж;17;2020;4,56;234;40;94;95;3;Общий конкурс;Очная;Биология;3,43;0
М;17;2020;4,19;270;90;54;85;3;Общий конкурс;Очная;Экономика;7,01;0
Ж;17;2022;3,43;246;59;88;95;6;Общий конкурс;Очная;Биология;7,19;0
Ж;19;2022;3,54;245;79;92;62;10;Общий конкурс;Очная;Математика;5,78;0
Ж;18;2024;4,85;243;64;83;44;5;Общий конкурс;Очная;Юриспруденция;4,74;0
М;18;2020;3,51;213;77;41;65;3;Общий конкурс;Очная;Физика;2,11;0
Ж;19;2025;4,8;261;77;74;56;0;Общий конкурс;Очная;Экономика;5,38;0
М;17;2025;4,04;206;50;63;57;8;Общий конкурс;Очная;Физика;3,7;0
Ж;19;2024;4,45;269;98;66;86;4;Общий конкурс;Очная;Юриспруденция;3,3;1
Ж;19;2022;3,73;272;89;89;62;9;Общий конкурс;Очная;Биология;1,69;0
Ж;19;2025;4;287;75;98;93;10;Общий конкурс;Очная;Филология;2,31;0
Ж;19;2025;3,03;235;87;86;79;3;Общий конкурс;Очная;Филология;4,78;0
Ж;19;2025;3,34;213;49;84;43;4;Целевая квота;Очная;Филология;4,41;0
Ж;25;2024;4,33;265;58;95;88;6;Общий конкурс;Очная;Филология;1,16;1
М;19;2022;3,15;276;63;86;61;3;Общий конкурс;Заочная;Экономика;2,41;0
Ж;24;2023;3,6;209;58;70;89;6;Особая квота;Очная;Информатика;9,57;0
Ж;17;2021;3,72;274;55;67;92;1;Целевая квота;Очная;Физика;4,11;0
Ж;24;2025;3,62;266;70;79;82;8;Общий конкурс;Очная;Информатика;2,59;0
Ж;17;2020;3,63;217;63;79;44;1;Общий конкурс;Очная;Юриспруденция;4,72;0
М;25;2023;3,33;232;78;62;50;7;Общий конкурс;Очная;Экономика;4,33;0
Ж;18;2023;3,63;284;49;86;91;6;Общий конкурс;Заочная;Экономика;3,61;0
М;20;2022;4,03;273;53;43;93;7;Общий конкурс;Очная;Филология;5,8;0
М;19;2025;3,19;243;75;77;89;8;Общий конкурс;Очная;Информатика;1,66;0
М;22;2023;3,95;292;43;40;50;1;Общий конкурс;Заочная;Филология;7,38;0
Ж;17;2020;4,84;203;91;68;42;4;Общий конкурс;Заочная;Математика;4,23;0
М;18;2023;3,95;298;45;100;90;10;Общий конкурс;Очная;Экономика;7,56;0
Ж;19;2025;3,74;232;61;58;52;9;Общий конкурс;Очная;Информатика;4,4;0
Ж;18;2024;4,01;234;61;56;55;8;Общий конкурс;Очная;Экономика;9,58;0
Ж;19;2021;3,54;210;63;72;78;9;Общий конкурс;Очная;Медицина;4,04;0
Ж;18;2021;4,37;234;43;53;59;7;Общий конкурс;Очная;Филология;6,95;0
Ж;20;2025;3,45;213;75;40;59;3;Общий конкурс;Очная;Филология;4,07;0
М;17;2020;4,69;266;48;57;89;8;Общий конкурс;Заочная;Экономика;4,51;1
Ж;23;2025;3,18;275;67;79;74;2;Общий конкурс;Очная;Информатика;4,64;0
М;17;2022;3,86;244;89;40;51;2;Особая квота;Очная;Биология;1,32;0
М;19;2022;4,16;216;42;83;99;8;Целевая квота;Очная;Экономика;9,82;0
Ж;18;2021;4,55;267;74;93;96;10;Общий конкурс;Заочная;Юриспруденция;8,09;0
Ж;19;2021;4,02;263;78;44;94;2;Общий конкурс;Очная;Медицина;2,1;1
Ж;20;2023;4,54;213;47;55;92;6;Общий конкурс;Очная;Юриспруденция;5,92;0
М;18;2021;4,38;213;60;84;43;6;Целевая квота;Очная;Юриспруденция;4,6;0
Ж;18;2020;3,55;243;40;70;90;3;Общий конкурс;Очная;Математика;2,54;0
Ж;22;2024;3,32;279;59;78;68;8;Общий конкурс;Очная;Юриспруденция;8,25;0
Ж;17;2025;4,85;286;95;100;85;8;Общий конкурс;Очная;Медицина;2,33;1
М;17;2021;3,9;269;96;83;49;10;Общий конкурс;Очная;Биология;6,13;0
М;17;2021;4,55;249;56;49;95;9;Общий конкурс;Очная;Филология;4,57;0
Ж;18;2025;4,31;271;61;48;66;2;Общий конкурс;Очная;Биология;3,82;1
М;18;2021;3,62;276;52;66;80;4;Общий конкурс;Очная;Биология;8,98;0
Ж;17;2025;3,97;294;43;74;88;10;Общий конкурс;Очная;Медицина;2,2;0
М;23;2023;3,88;207;78;66;45;6;Общий конкурс;Заочная;Информатика;3,07;0
Ж;17;2024;3,44;204;73;71;53;5;Общий конкурс;Очная;Биология;8,01;0
М;18;2020;3,25;239;79;92;45;5;Общий конкурс;Очная;Информатика;1,51;0
М;19;2021;4,08;270;69;76;86;1;Особая квота;Очная;Экономика;1,23;1
Ж;17;2022;4,27;221;84;66;54;0;Общий конкурс;Заочная;Филология;8,42;0
М;24;2020;3,98;271;43;65;68;10;Общий конкурс;Очная;Информатика;1,26;0
М;19;2024;4,6;292;40;59;92;3;Общий конкурс;Очная;Биология;5,36;0
Ж;17;2022;3,57;212;69;59;53;2;Общий конкурс;Очная;Филология;5,36;0
Ж;18;2022;4,19;223;80;55;57;5;Общий конкурс;Очная;Экономика;6,5;0
М;19;2021;4,09;254;77;88;70;10;Общий конкурс;Очная;Филология;6,31;0
М;19;2023;4,39;250;55;88;95;4;Общий конкурс;Очная;Биология;3,62;0
М;17;2021;4,6;214;40;53;50;3;Общий конкурс;Очная;Филология;3,82;0
Ж;24;2023;4,48;289;51;79;60;1;Целевая квота;Очная;Филология;7,34;0
